section,group_type,folder,company,project,title,url,order,visible,note
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Alice Through the Looking Glass : Time Realm | The Chronosphere | Fairy Tale | 6 Hours,https://www.youtube.com/watch?v=P7Wl9lBZh-k,43,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Tatooine Night | Desert Soundscape | 6 Hours,https://www.youtube.com/watch?v=EMryfSftrdg,44,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Alice in Wonderland : Mushroom Forest | Tulgey Wood | Fairy Tale | 6 Hours,https://www.youtube.com/watch?v=GPMFoC4VG1k,45,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Alice in Wonderland : White Queen's Castle | Marmoreal | Fairy Tale | 6 Hours,https://www.youtube.com/watch?v=qrgBfpG4prM,46,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Alice in Wonderland : Red Queen's Garden Party at Salazen Grum | 6 Hours,https://www.youtube.com/watch?v=SEcMdppqJGc,47,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] You've just entered Wonderland : Fantasy Soundscape | Game OST | 1 Hour,https://www.youtube.com/watch?v=GYZMFYsaADw,48,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Ambience] Nobody Wants to Die : Neo Noir Rooftop, Cyberpunk, Rainy Urban Soundscape | 6 Hours",https://www.youtube.com/watch?v=J6UOyUDezKo,49,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Music & Ambience] Nobody Wants to Die : Neo Noir, Cyberpunk, Synthwave Soundscape | 6 Hours",https://www.youtube.com/watch?v=PKH3S7HUmR4,50,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Desolation has come to Yharnam : Outdoor Ambience for Bloodborne Exploration | 6 Hours,https://www.youtube.com/watch?v=jW2BPCxyDhE,51,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Hidden Temple of the Deep : Journey Beneath the Waves | Game OST | 1 Hour,https://www.youtube.com/watch?v=v_D7LjIg3V8,52,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Mermaid Princess' Melodies : Fantasy Soundscape for Reverie | 6 Hours,https://www.youtube.com/watch?v=w_62pdXNepM,53,TRUE,randomly selects 5 on load
